,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
95,9,BaggingClassifier,0.899,0.016,0.9,0.9,1115,101,43,177
9,4,AdaBoostClassifier,0.896,0.002,0.901,0.9,1098,97,45,196
73,8,DecisionTreeClassifier,0.889,0.015,0.87,0.87,1044,95,91,206
39,6,DecisionTreeClassifier,0.886,0.009,0.873,0.87,1081,93,89,173
22,5,DecisionTreeClassifier,0.886,0.009,0.872,0.87,1078,106,78,174
56,7,DecisionTreeClassifier,0.884,0.014,0.896,0.9,1080,79,71,206
107,10,DecisionTreeClassifier,0.884,0.008,0.873,0.87,1063,92,90,191
5,4,DecisionTreeClassifier,0.882,0.006,0.866,0.87,1063,112,80,181
90,9,DecisionTreeClassifier,0.881,0.011,0.878,0.88,1075,92,83,186
23,5,ExtraTreeClassifier,0.872,0.013,0.871,0.87,1072,101,84,179
74,8,ExtraTreeClassifier,0.871,0.009,0.861,0.86,1065,130,70,171
108,10,ExtraTreeClassifier,0.871,0.014,0.858,0.86,1068,119,85,164
