,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
69,8,RidgeClassifier,0.832,0.014,0.837,0.84,1134,24,209,60
2,4,SGDClassifier,0.831,0.01,0.817,0.82,1109,26,235,57
70,8,SGDClassifier,0.831,0.014,0.835,0.84,1139,19,216,53
50,6,QuadraticDiscriminantAnalysis,0.812,0.008,0.802,0.8,1020,126,156,125
101,9,QuadraticDiscriminantAnalysis,0.812,0.014,0.788,0.79,1010,133,169,115
84,8,QuadraticDiscriminantAnalysis,0.811,0.01,0.81,0.81,1051,107,164,105
33,5,QuadraticDiscriminantAnalysis,0.81,0.013,0.809,0.81,1041,100,173,113
67,7,QuadraticDiscriminantAnalysis,0.81,0.009,0.809,0.81,1034,109,163,121
118,10,QuadraticDiscriminantAnalysis,0.809,0.015,0.807,0.81,1032,111,164,120
16,4,QuadraticDiscriminantAnalysis,0.809,0.005,0.807,0.81,1036,99,176,116
110,10,GaussianNB,0.805,0.017,0.808,0.81,1035,108,166,118
25,5,GaussianNB,0.805,0.01,0.805,0.81,1039,102,176,110
76,8,GaussianNB,0.804,0.009,0.8,0.8,1036,122,163,106
8,4,GaussianNB,0.804,0.001,0.807,0.81,1031,104,172,120
59,7,GaussianNB,0.804,0.007,0.804,0.8,1029,114,166,118
93,9,GaussianNB,0.803,0.01,0.789,0.79,1010,133,168,116
42,6,GaussianNB,0.803,0.008,0.795,0.79,1006,140,153,128
71,8,PassiveAggressiveClassifier,0.798,0.048,0.772,0.77,970,188,137,132
3,4,PassiveAggressiveClassifier,0.788,0.017,0.774,0.77,966,169,153,139
54,7,PassiveAggressiveClassifier,0.785,0.053,0.835,0.84,1081,62,173,111
88,9,PassiveAggressiveClassifier,0.781,0.113,0.835,0.84,1125,18,217,67
20,5,PassiveAggressiveClassifier,0.768,0.069,0.448,0.45,391,750,38,248
37,6,PassiveAggressiveClassifier,0.76,0.081,0.765,0.76,949,197,139,142
105,10,PassiveAggressiveClassifier,0.753,0.128,0.804,0.8,1019,124,155,129
