,Accuracy,Optimiser,Hidden_Layer,Hidden_Layer1,Hidden_Layer2,Batch,F1_score,F1_score_,FN,FN_,FP,FP_,N_ReCall,N_ReCall_,P_ReCall,P_ReCall_,TN,TN_,TP,TP_
786,41.30626618862152,adam,14,9,5,10,0.6,0.39,136.0,15.0,66.0,650.0,0.9415929203539823,0.282560706401766,0.5310344827586206,0.933920704845815,1064.0,256.0,154.0,212.0
787,66.99029207229614,sgd,14,9,5,10,0.4,0.49,213.0,50.0,14.0,324.0,0.9876106194690265,0.6423841059602649,0.2655172413793103,0.7797356828193832,1116.0,582.0,77.0,177.0
788,46.60194218158722,adam,14,9,7,10,0.63,0.41,139.0,20.0,40.0,585.0,0.9646017699115044,0.3543046357615894,0.5206896551724138,0.9118942731277533,1090.0,321.0,151.0,207.0
789,56.487202644348145,sgd,14,9,7,10,0.49,0.44,185.0,36.0,37.0,457.0,0.9672566371681416,0.4955849889624724,0.3620689655172414,0.8414096916299559,1093.0,449.0,105.0,191.0
790,46.42542004585266,adam,14,9,9,10,0.61,0.4,144.0,22.0,42.0,585.0,0.9628318584070796,0.3543046357615894,0.503448275862069,0.9030837004405287,1088.0,321.0,146.0,205.0
791,70.07943391799927,sgd,14,9,9,10,0.4,0.5,212.0,56.0,22.0,283.0,0.9805309734513274,0.6876379690949227,0.2689655172413793,0.7533039647577092,1108.0,623.0,78.0,171.0
792,39.982348680496216,adam,14,9,11,10,0.58,0.39,161.0,13.0,24.0,667.0,0.9787610619469026,0.26379690949227375,0.44482758620689655,0.9427312775330396,1106.0,239.0,129.0,214.0
793,63.371580839157104,sgd,14,9,11,10,0.47,0.48,188.0,36.0,43.0,379.0,0.9619469026548673,0.5816777041942605,0.35172413793103446,0.8414096916299559,1087.0,527.0,102.0,191.0
794,63.63636255264282,adam,14,9,13,10,0.6,0.46,146.0,50.0,44.0,362.0,0.9610619469026549,0.6004415011037527,0.496551724137931,0.7797356828193832,1086.0,544.0,144.0,177.0
795,53.30979824066162,sgd,14,9,13,10,0.46,0.43,196.0,28.0,29.0,501.0,0.9743362831858408,0.4470198675496689,0.32413793103448274,0.8766519823788547,1101.0,405.0,94.0,199.0
796,50.1323938369751,adam,14,9,15,10,0.61,0.41,151.0,30.0,28.0,535.0,0.9752212389380531,0.4094922737306843,0.4793103448275862,0.8678414096916299,1102.0,371.0,139.0,197.0
797,25.419241189956665,sgd,14,9,15,10,0.45,0.0,54.0,3.0,514.0,842.0,0.5451327433628319,0.0706401766004415,0.8137931034482758,0.986784140969163,616.0,64.0,236.0,224.0
798,59.66460704803467,adam,14,9,17,10,0.57,0.47,156.0,24.0,50.0,433.0,0.9557522123893806,0.522075055187638,0.46206896551724136,0.8942731277533039,1080.0,473.0,134.0,203.0
799,54.01588678359985,sgd,14,9,17,10,0.45,0.43,197.0,29.0,26.0,492.0,0.9769911504424779,0.45695364238410596,0.32068965517241377,0.8722466960352423,1104.0,414.0,93.0,198.0
800,41.57105088233948,adam,14,9,19,10,0.62,0.39,142.0,16.0,39.0,646.0,0.9654867256637168,0.2869757174392936,0.5103448275862069,0.9295154185022027,1091.0,260.0,148.0,211.0
801,65.8428966999054,sgd,14,9,19,10,0.43,0.49,204.0,41.0,22.0,346.0,0.9805309734513274,0.6181015452538632,0.296551724137931,0.8193832599118943,1108.0,560.0,86.0,186.0
